O67363,UID1316,2020/05/17 15:37:48,2,P2131,P1234,19,24,
O64207,UID1316,2020/05/17 16:04:38,1,P1234,23,
O64228,UID6658,2020/05/17 16:08:51,1,P1234,24,
O15270,UID6658,2020/05/17 16:28:32,1,P1234,12,
O63382,UID6658,2020/05/17 17:07:09,2,P2131,P1234,3,12,
O44704,UID6658,2020/05/17 17:08:00,1,P2131,2,
O16591,UID6658,2020/05/17 17:10:08,1,P2131,44,
O27210,UID6658,2020/05/17 17:15:09,2,P2131,P1234,4,32,
O62965,UID6658,2020/05/17 17:22:01,2,P2131,P1234,5,4,
O18199,UID1316,2020/05/17 17:26:36,2,P1111,P1234,1,0,
O12565,UID1316,2020/05/17 17:30:43,1,P3333,-10,
O39554,UID1316,2020/05/17 17:41:51,2,P2222,P3333,3,7,
